iter	Passed	Remaining
0	140	139899
1	140	70169
2	141	46949
3	141	35331
4	142	28363
5	143	23733
6	143	20403
7	144	17902
8	144	15953
9	145	14396
10	145	13123
11	146	12060
12	146	11160
13	147	10390
14	148	9721
15	148	9135
16	149	8621
17	149	8165
18	150	7755
19	150	7386
20	151	7053
21	151	6748
22	152	6469
23	153	6233
24	153	5999
25	154	5783
26	154	5582
27	155	5406
28	156	5233
29	156	5071
30	157	4921
31	158	4779
32	158	4650
33	159	4524
34	159	4406
35	160	4294
36	160	4186
37	161	4086
38	162	3992
39	162	3901
40	163	3814
41	163	3732
42	164	3652
43	164	3576
44	165	3503
45	165	3434
46	166	3367
47	166	3303
48	167	3242
49	168	3196
50	168	3143
51	169	3091
52	170	3039
53	170	2989
54	171	2942
55	171	2895
56	172	2850
57	172	2806
58	173	2764
59	173	2723
60	174	2686
61	175	2649
62	175	2612
63	176	2577
64	176	2542
65	177	2509
66	177	2477
67	178	2445
68	178	2414
69	179	2384
70	179	2354
71	180	2327
72	181	2301
73	181	2274
74	182	2248
75	182	2222
76	183	2197
77	183	2172
78	184	2148
79	184	2125
80	185	2102
81	185	2080
82	186	2056
83	186	2035
84	187	2015
85	187	1995
86	188	1975
87	188	1956
88	189	1937
89	189	1919
90	190	1901
91	190	1883
92	191	1866
93	191	1849
94	192	1832
95	192	1816
96	193	1801
97	194	1786
98	194	1770
99	195	1755
100	195	1741
101	196	1726
102	196	1712
103	197	1698
104	197	1684
105	198	1671
106	198	1657
107	199	1645
108	199	1633
109	200	1621
110	200	1608
111	201	1596
112	201	1584
113	202	1572
114	202	1561
115	203	1549
116	203	1537
117	204	1526
118	204	1515
119	205	1505
120	206	1496
121	206	1485
122	206	1475
123	207	1465
124	207	1455
125	208	1446
126	208	1435
127	209	1426
128	210	1418
129	210	1409
130	211	1400
131	211	1391
132	212	1384
133	212	1375
134	213	1366
135	213	1358
136	214	1350
137	214	1341
138	215	1333
139	215	1325
140	216	1317
141	216	1309
142	217	1301
143	217	1293
144	218	1286
145	218	1279
146	219	1272
147	219	1265
148	220	1257
149	220	1250
150	221	1243
151	221	1237
152	222	1230
